Handle,Image Src,Image Alt Text,Image Position,_SKU,_Image File
akwa-dophin-magnetic-cleaner-small,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-094.jpg,Akwa Dophin Magnetic Cleaner Small,1,MAG0001,akwa_img-094.jpg
akwa-dophin-magnetic-cleaner-medium,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-095.jpg,Akwa Dophin Magnetic Cleaner Medium,1,MAG0002,akwa_img-095.jpg
akwa-dophin-magnetic-cleaner-large,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-096.jpg,Akwa Dophin Magnetic Cleaner Large,1,MAG0003,akwa_img-096.jpg
akwa-dophin-scraper-mc-101,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-097.jpg,Akwa Dophin Scraper MC-101,1,SCR0001,akwa_img-097.jpg
akwa-activated-carbon-500ml,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-098.jpg,Akwa Activated Carbon 500ml,1,AFM0102,akwa_img-098.jpg
akwa-activated-carbon-1l,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-099.jpg,Akwa Activated Carbon 1L,1,AFM0103,akwa_img-099.jpg
akwa-ceramic-noodles-500ml,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-100.jpg,Akwa Ceramic Noodles 500ml,1,AFM0105,akwa_img-100.jpg
akwa-ceramic-noodles-1l,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-101.jpg,Akwa Ceramic Noodles 1L,1,AFM0106,akwa_img-101.jpg
akwa-zeolite-ammonia-remover-500ml,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-102.jpg,Akwa Zeolite Ammonia Remover 500ml,1,AFM0110,akwa_img-102.jpg
akwa-zeolite-ammonia-remover-1l,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-103.jpg,Akwa Zeolite Ammonia Remover 1L,1,AFM0111,akwa_img-103.jpg
akwa-dophin-mini-tank-gt-8003-12l,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-104.jpg,Akwa Dophin Mini Tank GT-8003 12L,1,AQD8003,akwa_img-104.jpg
